benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,stage_label,stage_index,eval_task,mean_accuracy,std_accuracy,mean_positive_rate,mean_mean_logit,mean_std_logit,n
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_2,2,0,0.9526999999999999,0.0033466401061363177,0.5123,0.8555440902709961,12.921024322509766,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_2,2,1,0.9632,0.002706473720544923,0.5069,0.29294843077659605,9.312562179565429,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_2,2,2,0.9664999999999999,0.001767766952966382,0.496,0.3605616569519043,9.810675621032715,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_2,2,3,0.3731,0.044440128262641196,0.4805,-0.6695441156625748,3.1046074867248534,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,0,0.9541999999999999,0.0019557607215607907,0.5147999999999999,1.3141425408422946,12.539466094970702,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,1,0.9622999999999999,0.0050447993022518026,0.5024,-0.05144397318363192,12.296852302551269,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,2,0.9629,0.002770379035439046,0.4902,0.019810962677001952,10.67177791595459,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct5_replaysize500,0.05,500,after_task_3,3,3,0.9568999999999999,0.005424481542046216,0.5065,0.6120886236429215,11.031060409545898,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,0,0.958,0.004756574397610096,0.4962,0.11159577947109937,10.205933570861816,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,1,0.5065999999999999,0.007205900360121591,0.4347,-1.123820036649704,6.241226768493652,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,2,0.49399999999999994,0.006062177826491054,0.5341,0.8119266271591188,6.049385929107666,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_0,0,3,0.1447,0.14322779059945034,0.4465,-0.8116557627916337,5.7995270729064945,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,0,0.7059,0.04838827337279149,0.43529999999999996,-1.0462916284799575,5.404636478424072,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,1,0.9654999999999999,0.0024748737341529293,0.5082,-0.5658842980861664,9.443458366394044,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,2,0.22270000000000004,0.08540535697484086,0.41459999999999997,-0.8446991503238678,5.029938125610352,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_1,1,3,0.43150000000000005,0.037153398229502504,0.45170000000000005,-0.9450848817825317,5.224480438232422,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,0,0.5921,0.07860772862766104,0.5942999999999999,1.2536556482315067,3.7014558792114256,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,1,0.5637000000000001,0.24264727486621396,0.6462,1.7608152985572816,2.058667016029358,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,2,0.9648,0.0014832396974191681,0.4967,0.915556738898158,9.672200012207032,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_2,2,3,0.49079999999999996,0.017322673003898663,0.47379999999999994,0.366609925031662,4.1502281665802006,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,0,0.2798,0.19250538953494264,0.44580000000000003,-0.4484889864921572,3.829763984680176,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,1,0.5503,0.09914421314428798,0.6204,1.4746228218078614,5.382021570205689,5
sdfc,shared_head,sequential,film_full,film_full_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,after_task_3,3,2,0.7635,0.041438207007543165,0.3776,-2.307066869735718,8.26130781173706,5
