run_name,benchmark,scenario,layer_idx,component,mean_weight_norm,mean_grad_norm,mean_bias_norm,mean_bias_grad_norm,max_grad_norm,n_rows
seq_film_r2pct_seed2,sdfc,shared_head,0,basal,9.411220935860065,0.1096000935426076,1.8586586654336765,0.04650311906836137,0.82261723279953,1584
seq_film_r2pct_seed2,sdfc,shared_head,0,beta,26.22686671247386,0.0315344747360734,12.501757018493883,0.031527720573851385,0.43751421570777893,1584
seq_film_r2pct_seed2,sdfc,shared_head,0,gamma,27.147335522102587,0.006596248998260243,12.749582628409067,0.006590368822652075,0.08451703190803528,1584
seq_film_r2pct_seed2,sdfc,shared_head,1,basal,9.34871981481109,0.25938831141801794,0.6540910865020271,0.0130734732227468,3.581589460372925,1584
seq_film_r2pct_seed2,sdfc,shared_head,1,beta,25.496748553382027,0.014205800764552759,12.221128618476367,0.014057649365825292,0.2134980857372284,1584
seq_film_r2pct_seed2,sdfc,shared_head,1,gamma,26.100294280533838,0.015677044487779082,12.709354811846607,0.015747504256087452,0.37444615364074707,1584
seq_film_r5pct_seed2,sdfc,shared_head,0,basal,9.447917258197611,0.11749925667118996,1.8507999986259625,0.0501776348224446,0.82261723279953,1584
seq_film_r5pct_seed2,sdfc,shared_head,0,beta,26.224957561252094,0.034126251797789164,12.499490945026128,0.03394857750219782,0.43878647685050964,1584
seq_film_r5pct_seed2,sdfc,shared_head,0,gamma,27.180220116268504,0.006770361343271104,12.716984010103976,0.0067437852323031745,0.08052664995193481,1584
seq_film_r5pct_seed2,sdfc,shared_head,1,basal,9.320819659967615,0.2738562831702181,0.6438954458619007,0.013879752978238978,3.7097954750061035,1584
seq_film_r5pct_seed2,sdfc,shared_head,1,beta,25.495444143661345,0.01553159135668043,12.216080378402363,0.015168610903827753,0.22288388013839722,1584
seq_film_r5pct_seed2,sdfc,shared_head,1,gamma,26.084895487987634,0.0163741737439587,12.66780021214726,0.01636141736985383,0.4339185059070587,1584
seq_film_r10pct_seed2,sdfc,shared_head,0,basal,9.339436381754249,0.1212287432434169,1.8503514954989606,0.05202810962289346,0.82261723279953,1584
seq_film_r10pct_seed2,sdfc,shared_head,0,beta,26.223642596090684,0.035467861384133374,12.493091248502635,0.03558769248420596,0.4370603859424591,1584
seq_film_r10pct_seed2,sdfc,shared_head,0,gamma,27.11120791266663,0.006980569558418027,12.76378420507065,0.006961978345784839,0.06983683258295059,1584
seq_film_r10pct_seed2,sdfc,shared_head,1,basal,9.211387911830286,0.2857267125168665,0.6567625935481052,0.014530276222195434,3.608614921569824,1584
seq_film_r10pct_seed2,sdfc,shared_head,1,beta,25.493647878820244,0.015982723467211392,12.216763027388641,0.015689163607776942,0.27083620429039,1584
seq_film_r10pct_seed2,sdfc,shared_head,1,gamma,26.058054158181854,0.016268497982585388,12.667413877718376,0.016208944907886706,0.4486134946346283,1584
seq_affine_r0pct_seed2,sdfc,shared_head,0,add,26.21319232324157,0.04175568435438794,0.3493261724325941,0.04175568441463507,0.8523437976837158,1584
seq_affine_r0pct_seed2,sdfc,shared_head,0,basal,9.036808926047701,0.15237135627081222,1.7772953921947816,0.06568868387863275,0.9584758281707764,1584
seq_affine_r0pct_seed2,sdfc,shared_head,0,gate,26.908018655247158,0.008778721656511548,1.5924107199370146,0.008778721726919299,0.17140959203243256,1584
seq_affine_r0pct_seed2,sdfc,shared_head,1,add,25.491575385584976,0.020321384652987,0.18546102070155543,0.020321384557551492,0.40914204716682434,1584
seq_affine_r0pct_seed2,sdfc,shared_head,1,basal,8.8749199073122,0.35941920065523286,0.6648167863187163,0.01788863992836776,7.088445663452148,1584
seq_affine_r0pct_seed2,sdfc,shared_head,1,gate,25.896230692815298,0.023227183424347056,0.699785114109582,0.023227183603012236,0.7143843173980713,1584
seq_affine_r2pct_seed2,sdfc,shared_head,0,add,26.24698204584796,0.03159520105405917,0.3376267235849589,0.031401395970211944,0.42677366733551025,1584
seq_affine_r2pct_seed2,sdfc,shared_head,0,basal,9.319558410331457,0.11080854216524673,1.8079536510537368,0.047165763706105264,0.8271322250366211,1584
seq_affine_r2pct_seed2,sdfc,shared_head,0,gate,27.132433331373967,0.00624507021704557,1.7139780233458926,0.006247262147930216,0.11016791313886642,1584
seq_affine_r2pct_seed2,sdfc,shared_head,1,add,25.50085229343838,0.013970753681626251,0.15891015312088785,0.013763670326856107,0.2046373039484024,1584
seq_affine_r2pct_seed2,sdfc,shared_head,1,basal,9.329367757746667,0.2563830002662585,0.6501611742858935,0.012985114019584493,3.5003416538238525,1584
seq_affine_r2pct_seed2,sdfc,shared_head,1,gate,26.133144879581952,0.013872090515647098,0.8406603832698587,0.01388609090255811,0.3710358142852783,1584
seq_affine_r5pct_seed2,sdfc,shared_head,0,add,26.238372549866185,0.034627671576510526,0.342108074061201,0.03431482766218966,0.42799806594848633,1584
seq_affine_r5pct_seed2,sdfc,shared_head,0,basal,9.350866010092725,0.11926005607132208,1.8216262486847965,0.05107282057070559,0.8271322250366211,1584
seq_affine_r5pct_seed2,sdfc,shared_head,0,gate,27.15748744661158,0.006564683100015203,1.718194605756758,0.006541003960298228,0.1070111095905304,1584
seq_affine_r5pct_seed2,sdfc,shared_head,1,add,25.493763342048183,0.015376005172165972,0.1626727671357756,0.014934877693839107,0.20972469449043274,1584
seq_affine_r5pct_seed2,sdfc,shared_head,1,basal,9.253589920022272,0.27684554147223633,0.6509773880995885,0.014109304228509935,3.627530574798584,1584
seq_affine_r5pct_seed2,sdfc,shared_head,1,gate,26.09085816807217,0.014348185184901765,0.8182125660353293,0.014324007707645333,0.4682968258857727,1584
seq_affine_r10pct_seed2,sdfc,shared_head,0,add,26.243626772755324,0.03514849158963067,0.3403093304909587,0.03501612656686984,0.42627689242362976,1584
seq_affine_r10pct_seed2,sdfc,shared_head,0,basal,9.254712556347702,0.12178000744733244,1.822190030506163,0.052192720736264055,0.8271322250366211,1584
seq_affine_r10pct_seed2,sdfc,shared_head,0,gate,27.10927286774221,0.006640836908840668,1.7112640840768099,0.006626897261109359,0.09861180186271667,1584
seq_affine_r10pct_seed2,sdfc,shared_head,1,add,25.49574815865719,0.015156557984446041,0.16138016075751924,0.014732910478301648,0.20458263158798218,1584
seq_affine_r10pct_seed2,sdfc,shared_head,1,basal,9.275049969704463,0.2772578962377715,0.654587737764373,0.014171430349377793,3.528198719024658,1584
seq_affine_r10pct_seed2,sdfc,shared_head,1,gate,26.06006161371867,0.014290840410155001,0.7996024170530621,0.01426307345702133,0.3824164569377899,1584
seq_film_r0pct_seed3,sdfc,shared_head,0,basal,8.97675314846665,0.1556600987566682,1.738801632490423,0.06646211185293258,1.6366326808929443,1584
seq_film_r0pct_seed3,sdfc,shared_head,0,beta,26.400437341796028,0.04362652904522963,13.363357720953045,0.04362652889979316,0.8408455848693848,1584
seq_film_r0pct_seed3,sdfc,shared_head,0,gamma,26.08420374778786,0.012350077890207305,13.456101074965312,0.012350077935939272,0.49368754029273987,1584
seq_film_r0pct_seed3,sdfc,shared_head,1,basal,9.019155475828383,0.3680646581074924,0.6224403762531401,0.018566428570135362,8.53316593170166,1584
seq_film_r0pct_seed3,sdfc,shared_head,1,beta,26.286931223339504,0.01885988206392788,13.50193280643887,0.018859882122443297,0.2618919909000397,1584
seq_film_r0pct_seed3,sdfc,shared_head,1,gamma,26.044599316336893,0.019515043106256406,13.353489925162961,0.019515042955335404,0.5497612953186035,1584
seq_film_r2pct_seed3,sdfc,shared_head,0,basal,9.2577853877135,0.1059312115428085,1.846915257549045,0.04463385682637719,1.102599024772644,1584
seq_film_r2pct_seed3,sdfc,shared_head,0,beta,26.501819759908347,0.031462272041957326,13.339268938459531,0.031535467931866554,0.5763347148895264,1584
seq_film_r2pct_seed3,sdfc,shared_head,0,gamma,26.373938035483313,0.00860967649556426,13.323709540896946,0.008591318299515864,0.1726454645395279,1584
seq_film_r2pct_seed3,sdfc,shared_head,1,basal,9.417192191186578,0.26341835270880376,0.6155419445248566,0.013510371028739124,4.041466236114502,1584
seq_film_r2pct_seed3,sdfc,shared_head,1,beta,26.283050596111952,0.013699551717616837,13.508169393948835,0.013529571610244873,0.23305311799049377,1584
seq_film_r2pct_seed3,sdfc,shared_head,1,gamma,26.1041109345176,0.012587865883908693,13.308404976069324,0.012655137142972289,0.34765464067459106,1584
seq_film_r5pct_seed3,sdfc,shared_head,0,basal,9.281295553903387,0.11648607879378503,1.841323487761647,0.05090776962849001,1.102599024772644,1584
seq_film_r5pct_seed3,sdfc,shared_head,0,beta,26.505184352999986,0.03679493050341732,13.343304650952117,0.03670359692479924,0.6140021681785583,1584
seq_film_r5pct_seed3,sdfc,shared_head,0,gamma,26.325818005234304,0.009260364436259907,13.36332046383559,0.009256997675166908,0.16658513247966766,1584
seq_film_r5pct_seed3,sdfc,shared_head,1,basal,9.377241780059506,0.2911473080725174,0.6154229428732034,0.015028545399732736,4.052635669708252,1584
seq_film_r5pct_seed3,sdfc,shared_head,1,beta,26.285013004986926,0.014921334556215651,13.513497639184047,0.014303677502023174,0.24117925763130188,1584
seq_film_r5pct_seed3,sdfc,shared_head,1,gamma,26.076674891240668,0.01228544226658855,13.315868561918085,0.01229535348432943,0.32237595319747925,1584
seq_film_r10pct_seed3,sdfc,shared_head,0,basal,9.149144051652966,0.12255046063930625,1.8271030453268928,0.05092138329737189,1.102599024772644,1584
seq_film_r10pct_seed3,sdfc,shared_head,0,beta,26.50743370465558,0.036136391199375575,13.343714420843606,0.036117548987316,0.5271193385124207,1584
seq_film_r10pct_seed3,sdfc,shared_head,0,gamma,26.297860778943456,0.0091003437017648,13.37490790721142,0.009109912283196481,0.1588292419910431,1584
seq_film_r10pct_seed3,sdfc,shared_head,1,basal,9.372607297668553,0.291080934664639,0.6130915169764046,0.014973960342498998,4.055545806884766,1584
seq_film_r10pct_seed3,sdfc,shared_head,1,beta,26.28626631967949,0.014677541170339732,13.513642853558666,0.01421491038558538,0.21037441492080688,1584
seq_film_r10pct_seed3,sdfc,shared_head,1,gamma,26.0856985961548,0.012051790010409237,13.352707548574967,0.012026777255129554,0.2989567518234253,1584
seq_affine_r0pct_seed3,sdfc,shared_head,0,add,26.389127264119157,0.04456984918569004,0.3578682162174532,0.04456984904942661,0.6704718470573425,1584
seq_affine_r0pct_seed3,sdfc,shared_head,0,basal,8.851509092733114,0.1613566601085077,1.6986607666870561,0.06892377750023804,1.5229744911193848,1584
seq_affine_r0pct_seed3,sdfc,shared_head,0,gate,26.057403877528028,0.011352865958524305,1.532809554365807,0.011352866039349905,0.41435664892196655,1584
seq_affine_r0pct_seed3,sdfc,shared_head,1,add,26.28381892888233,0.019013899228925213,0.14655160887791266,0.01901389928403577,0.3049125671386719,1584
seq_affine_r0pct_seed3,sdfc,shared_head,1,basal,8.977308343757283,0.3816733837390502,0.6173727514241079,0.019309863812381853,8.61157512664795,1584
seq_affine_r0pct_seed3,sdfc,shared_head,1,gate,26.033346628901935,0.01841179041711983,0.7004341354353748,0.018411790509024726,0.48655712604522705,1584
seq_affine_r2pct_seed3,sdfc,shared_head,0,add,26.508701573718678,0.031261776911580656,0.3312546271799048,0.031363771895379464,0.5549007058143616,1584
